fms_id,espn_id,full_name,first_name,last_name,position,position_group,section,college,draft_year,selection_number,position_rank,position_group_rank,section_rank,drafting_team
2,4047646.0,A.J. Brown,A.J.,Brown,WR,WR,O,Ole Miss,2019,,,,,
102,3728248.0,Albert Huggins,Albert,Huggins,DL,DL,D,Clemson,2019,,,,,
108,3917668.0,Alec Ingold,Alec,Ingold,FB,RB,O,Wisconsin,2019,,,,,
113,3886636.0,Alex Barnes,Alex,Barnes,RB,RB,O,Kansas State,2019,,,,,
136,4048244.0,Alexander Mattison,Alexander,Mattison,RB,RB,O,Boise State,2019,,,,,
143,3117249.0,Alijah Holder,Alijah,Holder,CB,DB,D,Stanford,2019,,,,,
144,3932433.0,Alize Mack,Alize,Mack,TE,TE,O,Notre Dame,2019,,,,,
163,4036134.0,Amani Hooker,Amani,Hooker,S,DB,D,Iowa,2019,,,,,
164,3116175.0,Amani Oruwariye,Amani,Oruwariye,CB,DB,D,Penn State,2019,,,,,
179,3127264.0,Andre Dillard,Andre,Dillard,OT,OL,O,Washington State,2019,,,,,
210,,Andrew Van ginkel,Andrew,Van,OLB,LB,D,Wisconsin,2019,,,,,
213,3918331.0,Andrew Wingard,Andrew,Wingard,S,DB,D,Wyoming,2019,,,,,
216,3914328.0,Andy Isabella,Andy,Isabella,WR,WR,O,UMass,2019,,,,,
248,4049301.0,Anthony Johnson,Anthony,Johnson,WR,WR,O,Buffalo,2019,,,,,
256,3894856.0,Anthony Nelson,Anthony,Nelson,DL,DL,D,Iowa,2019,,,,,
256,3894856.0,Anthony Nelson,Anthony,Nelson,DL,DL,D,Iowa,2019,,,,,
256,3145005.0,Anthony Nelson,Anthony,Nelson,DL,DL,D,Iowa,2019,,,,,
256,3145005.0,Anthony Nelson,Anthony,Nelson,DL,DL,D,Iowa,2019,,,,,
275,4043161.0,Antoine Wesley,Antoine,Wesley,WR,WR,O,Texas Tech,2019,,,,,
311,3128685.0,Armon Watts,Armon,Watts,DL,DL,D,Arkansas,2019,,,,,
337,3728253.0,Austin Bryant,Austin,Bryant,DE,DL,D,Clemson,2019,,,,,
353,3919117.0,Azeez Al-Shaair,Azeez,Al-Shaair,OLB,LB,D,Florida Atlantic,2019,,,,,
381,3121537.0,Beau Benzschawel,Beau,Benzschawel,OT,OL,O,Wisconsin,2019,,,,,
385,3124970.0,Ben Banogu,Ben,Banogu,DE,DL,D,TCU,2019,,,,,
388,3886816.0,Ben Burr-Kirven,Ben,Burr-Kirven,OLB,LB,D,Washington,2019,,,,,
401,4037650.0,Ben Powers,Ben,Powers,OT,OL,O,Oklahoma,2019,,,,,
414,,Benny Snell,Benny,Snell,RB,RB,O,Kentucky,2019,,,,,
434,3917067.0,Bisi Johnson,Bisi,Johnson,WR,WR,O,Colorado State,2019,,,,,
436,3128652.0,Blace Brown,Blace,Brown,CB,DB,D,Troy,2019,,,,,
443,3728281.0,Blake Cashman,Blake,Cashman,OLB,LB,D,Minnesota,2019,,,,,
446,3930021.0,Blessuan Austin,Blessuan,Austin,CB,DB,D,Rutgers,2019,,,,,
454,3706968.0,Bobby Evans,Bobby,Evans,OT,OL,O,Oklahoma,2019,,,,,
461,3117253.0,Bobby Okereke,Bobby,Okereke,OLB,LB,D,Stanford,2019,,,,,
527,3929795.0,Brandon Knight,Brandon,Knight,OT,OL,O,Indiana,2019,,,,,
584,3722362.0,Brett Rypien,Brett,Rypien,QB,QB,O,Boise State,2019,,,,,
591,4035631.0,Brian Burns,Brian,Burns,DE,DL,D,Florida State,2019,,,,,
645,3931398.0,Bryce Love,Bryce,Love,RB,RB,O,Stanford,2019,,,,,
649,3126478.0,Bryson Allen-Williams,Bryson,Allen-Williams,OLB,LB,D,South Carolina,2019,,,,,
656,,Byron Cowart,Byron,Cowart,DL,DL,D,Maryland,2019,,,,,
662,4038999.0,Byron Murphy,Byron,Murphy,CB,DB,D,Washington,2019,,,,,
667,3915230.0,C.J. Conrad,C.J.,Conrad,TE,TE,O,Kentucky,2019,,,,,
685,4035838.0,Caleb Wilson,Caleb,Wilson,TE,TE,O,UCLA,2019,,,,,
685,4035838.0,Caleb Wilson,Caleb,Wilson,TE,TE,O,UCLA,2019,,,,,
685,3932936.0,Caleb Wilson,Caleb,Wilson,TE,TE,O,UCLA,2019,,,,,
685,3932936.0,Caleb Wilson,Caleb,Wilson,TE,TE,O,UCLA,2019,,,,,
707,3701669.0,Cameron Smith,Cameron,Smith,OLB,LB,D,USC,2019,,,,,
715,3918310.0,Carl Granderson,Carl,Granderson,DE,DL,D,Wyoming,2019,,,,,
748,3915105.0,Cece Jefferson,Cece,Jefferson,DE,DL,D,Florida,2019,,,,,
801,3929865.0,Charles Omenihu,Charles,Omenihu,DL,DL,D,Texas,2019,,,,,
818,531024.0,Chase Hansen,Chase,Hansen,OLB,LB,D,Utah,2019,,,,,
828,3115974.0,Chase Winovich,Chase,Winovich,DE,DL,D,Michigan,2019,,,,,
830,4034953.0,Chauncey Gardner-Johnson,Chauncey,Gardner-Johnson,S,DB,D,Florida,2019,,,,,
901,4239950.0,Chris Lindstrom,Chris,Lindstrom,OT,OL,O,Boston College,2019,,,,,
901,4239950.0,Chris Lindstrom,Chris,Lindstrom,OT,OL,O,Boston College,2019,,,,,
901,3672833.0,Chris Lindstrom,Chris,Lindstrom,OT,OL,O,Boston College,2019,,,,,
901,3672833.0,Chris Lindstrom,Chris,Lindstrom,OT,OL,O,Boston College,2019,,,,,
