fms_id,espn_id,full_name,first_name,last_name,position,position_group,section,college,draft_year,selection_number,position_rank,position_group_rank,section_rank,drafting_team,home_city,home_state,home_country,college_weight_pounds,college_height_inches,hw_ratio,forty,vertical,bench,broad,threecone,shuttle,defense_ast_tackles_pg,defense_fum_forced_pg,defense_fum_rec_pg,defense_fum_tds_pg,defense_fum_yds_pg,defense_int_pg,defense_int_td_pg,defense_int_yards_pg,defense_loss_tackles_pg,defense_pd_pg,defense_sacks_pg,defense_solo_tackes_pg,defense_tackles_pg,defense_ast_tackles_pg_cf_scaled,defense_fum_forced_pg_cf_scaled,defense_fum_rec_pg_cf_scaled,defense_fum_tds_pg_cf_scaled,defense_fum_yds_pg_cf_scaled,defense_int_pg_cf_scaled,defense_int_td_pg_cf_scaled,defense_int_yards_pg_cf_scaled,defense_loss_tackles_pg_cf_scaled,defense_pd_pg_cf_scaled,defense_sacks_pg_cf_scaled,defense_solo_tackes_pg_cf_scaled,defense_tackles_pg_cf_scaled,football_spending,coaches_salaries,ticket_sales,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec,cb_college_weight_pounds_zscore,cb_college_height_inches_zscore,cb_hw_ratio_zscore,cb_forty_zscore,cb_vertical_zscore,cb_bench_zscore,cb_broad_zscore,cb_threecone_zscore,cb_shuttle_zscore,cb_defense_ast_tackles_pg_zscore,cb_defense_fum_forced_pg_zscore,cb_defense_fum_rec_pg_zscore,cb_defense_fum_tds_pg_zscore,cb_defense_fum_yds_pg_zscore,cb_defense_int_pg_zscore,cb_defense_int_td_pg_zscore,cb_defense_int_yards_pg_zscore,cb_defense_loss_tackles_pg_zscore,cb_defense_pd_pg_zscore,cb_defense_sacks_pg_zscore,cb_defense_solo_tackes_pg_zscore,cb_defense_tackles_pg_zscore,cb_defense_ast_tackles_pg_cf_scaled_zscore,cb_defense_fum_forced_pg_cf_scaled_zscore,cb_defense_fum_rec_pg_cf_scaled_zscore,cb_defense_fum_tds_pg_cf_scaled_zscore,cb_defense_fum_yds_pg_cf_scaled_zscore,cb_defense_int_pg_cf_scaled_zscore,cb_defense_int_td_pg_cf_scaled_zscore,cb_defense_int_yards_pg_cf_scaled_zscore,cb_defense_loss_tackles_pg_cf_scaled_zscore,cb_defense_pd_pg_cf_scaled_zscore,cb_defense_sacks_pg_cf_scaled_zscore,cb_defense_solo_tackes_pg_cf_scaled_zscore,cb_defense_tackles_pg_cf_scaled_zscore,cb_football_spending_zscore,cb_coaches_salaries_zscore,cb_ticket_sales_zscore,cb_ann_rain_inch_zscore,cb_ann_snow_inch_zscore,cb_min_jan_zscore,cb_min_feb_zscore,cb_min_mar_zscore,cb_min_apr_zscore,cb_min_may_zscore,cb_min_jun_zscore,cb_min_jul_zscore,cb_min_aug_zscore,cb_min_sep_zscore,cb_min_oct_zscore,cb_min_nov_zscore,cb_min_dec_zscore,cb_max_jan_zscore,cb_max_feb_zscore,cb_max_mar_zscore,cb_max_apr_zscore,cb_max_may_zscore,cb_max_jun_zscore,cb_max_jul_zscore,cb_max_aug_zscore,cb_max_sep_zscore,cb_max_oct_zscore,cb_max_nov_zscore,cb_max_dec_zscore,cb_max_madden_zscore,max_madden
143,3117249.0,Alijah Holder,Alijah,Holder,CB,DB,D,Stanford,2019,,,,,,Oceanside,CA        ,USA,191,73,0.38219895287958117,4.6,36.0,9.0,121.0,6.7,4.15,1.1666666666666667,0.1388888888888889,0.0,0.0,0.0,0.05555555555555555,0.027777777777777776,1.75,0.18055555555555555,0.6666666666666666,0.0,2.4722222222222223,3.638888888888889,1.05,0.125,0.0,0.0,0.0,0.049999999999999996,0.024999999999999998,1.575,0.1625,0.6,0.0,2.225,3.275,,,,39.28,0.01,38.5,40.6,43.1,44.7,48.7,52.4,55.1,54.9,52.5,48.1,42.4,38.0,58.4,61.6,65.7,69.7,74.3,78.4,79.6,79.4,79.5,74.0,64.8,58.3,-0.24235426587280692,1.13255751096651,0.8525104171465463,1.1185600113222853,0.010748618865407775,-1.3278676738843564,-0.15051732617200198,-1.096542198765438,-0.05310204102727826,0.7480337792591067,3.189201940270583,-0.4190241899480052,-0.3814730871971234,-0.2902412959939561,-1.1588692356294454,0.30407820576088024,-0.28238497889260844,0.39212643945192754,1.4130761413543063,-0.5339054362841054,0.4531453431303374,0.5665323399000347,0.7799927013346871,3.211438260519625,-0.4333429996748157,-0.37523124311402756,-0.2840815058959056,-1.1524750564765571,0.3291519197608048,-0.26612119957011915,0.4143495715164033,1.4376399671778828,-0.5527869859498546,0.48012340430633393,0.5948077592479736,,,,-0.20456144006941998,-0.6460829519765635,0.7417911823996697,0.6882179154129134,0.4036832948562104,-0.2260736782398409,-0.863744385978917,-1.5217246658482924,-1.8255585872512967,-1.632242828885225,-0.8965530874503995,-0.12227948290432368,0.22302966654973455,0.5282416020874945,0.7131527998729199,0.6828881807166786,0.4515778168709263,-0.007834329634973318,-0.49615613937758407,-1.0704486345168,-1.7305824427893621,-1.552456923949601,-0.38882878521234265,0.27212689841144466,0.3738874783279689,0.5897049981145449,-1.7320414252270893,59.0
164,3116175.0,Amani Oruwariye,Amani,Oruwariye,CB,DB,D,Penn State,2019,,,,,,Tampa,FL        ,USA,205,74,0.36097560975609755,4.47,36.5,17.0,120.0,6.82,4.16,0.8947368421052632,0.02631578947368421,0.0,0.0,0.0,0.21052631578947367,0.02631578947368421,1.1842105263157894,0.02631578947368421,0.5263157894736842,0.0,1.894736842105263,2.789473684210526,0.85,0.024999999999999998,0.0,0.0,0.0,0.19999999999999998,0.024999999999999998,1.1249999999999998,0.024999999999999998,0.49999999999999994,0.0,1.7999999999999998,2.6499999999999995,26535979.8,5906773.3,36841530.4,42.52,2.06,20.2,21.7,28.2,39.3,49.3,58.7,62.6,61.0,53.1,42.1,33.9,24.8,34.2,37.5,46.4,59.8,69.7,77.9,81.6,80.2,72.3,61.2,49.8,38.1,1.3174287446809307,1.7719806056996863,-0.5546129738212926,-0.2686786352594583,0.18551319967702637,0.6136140355281974,-0.33113811757840533,-0.5284626874185837,0.015689239394423817,0.22874130544801025,0.18386457681957097,-0.4190241899480052,-0.3814730871971234,-0.2902412959939561,0.32072206973631556,0.25115317872411497,-0.5432332227822992,-0.9169231353637459,0.9480759763651797,-0.5339054362841054,-0.039467385599736414,0.0451260378091721,0.3507428808299526,0.23201199003433456,-0.4333429996748157,-0.37523124311402756,-0.2840815058959056,0.4721178964047114,0.3291519197608048,-0.5032638470255987,-0.9059862357375389,1.064821194682677,-0.5527869859498546,0.07530144510684658,0.16626011141076658,0.6556542344605406,0.03045281541882079,1.0918692981856355,0.008573559501676238,0.4563708112748527,-0.826777875236744,-0.9298602764408405,-1.0591478783466013,-0.8731860904377556,-0.7849401905125436,-0.6204252878660232,-0.6584207719613511,-0.7254473521981143,-0.818876501853258,-0.8080061226781869,-0.6900581089720168,-0.6952923651408042,-1.164518955602754,-1.258821911831569,-1.408835286653951,-1.2552362867668,-1.175910225923461,-1.156001182574501,-1.3339921573926206,-1.4010181562950352,-1.596345458308514,-1.3669663212614396,-1.1215888568124384,-1.0737821196215385,-0.44367420659611695,71.0
436,3128652.0,Blace Brown,Blace,Brown,CB,DB,D,Troy,2019,,,,,,Canton,GA        ,USA,194,72,0.3711340206185567,4.75,,14.0,126.0,7.33,4.22,1.0,0.05714285714285714,0.02857142857142857,0.0,0.0,0.34285714285714286,0.02857142857142857,5.171428571428572,0.05714285714285714,0.45714285714285713,0.014285714285714285,2.1714285714285713,3.1714285714285713,0.7,0.039999999999999994,0.019999999999999997,0.0,0.0,0.24,0.019999999999999997,3.62,0.039999999999999994,0.31999999999999995,0.009999999999999998,1.5199999999999998,2.2199999999999998,6103874.214285715,1866672.7142857143,839300.0,52.05,0.0,34.8,37.5,43.1,49.8,58.5,66.6,69.8,69.6,63.9,52.4,42.8,36.5,58.2,62.2,69.6,76.6,84.0,89.3,91.5,91.0,86.8,77.9,68.9,59.9,0.09188495067442258,0.4931344162333336,0.11889720110546602,2.7192199881473793,,-0.11444160550151032,0.752586630860015,1.8858752358055442,0.4284369219246424,0.42975774692327334,1.0068474986106084,0.47630814078930517,-0.3814730871971234,-0.2902412959939561,1.5841574485499899,0.3328089347236957,1.2950102819978075,-0.6552904782983521,0.7188973236205387,-0.186876910033854,0.19655913990536353,0.2795857981395801,0.028805515451401774,0.678925930607128,0.30956117671597044,-0.37523124311402756,-0.2840815058959056,0.9053426838397165,0.12238670687226157,0.8115603871997819,-0.761949602218927,0.39374740419130694,-0.26985429721637233,-0.19140478683634496,-0.12858067030123144,-1.6487843653333507,-1.6150899394776148,-1.3889200982191436,0.6354799008327086,-0.6514607752119363,0.4246488046261869,0.42281884690780025,0.4036832948562104,0.38508804439152167,0.4233908066385272,0.509775519445074,0.46203153071699604,0.5529856149345326,0.5793020388952846,0.3691579422669447,0.26599850304487566,0.38920365126609696,0.6976348514805593,0.7312295108216142,0.8275162160288021,0.8615670344266013,0.9372383474691588,0.79459691314108,0.6291297553212515,0.6434052070416096,0.835458952787941,0.7715381137805274,0.7826510099330144,0.7214663539748289,,
446,3930021.0,Blessuan Austin,Blessuan,Austin,CB,DB,D,Rutgers,2019,,,,,,Queens,NY        ,USA,198,73,0.3686868686868687,,,15.0,,,,0.88,0.04,0.04,0.0,0.0,0.16,0.04,1.68,0.2,0.72,0.08,2.68,3.56,0.836,0.038,0.038,0.0,0.0,0.152,0.038,1.5959999999999999,0.19,0.6839999999999999,0.076,2.546,3.3819999999999997,21768323.0,4905925.785714285,9983185.357142856,48.93,1.79,23.0,25.2,31.8,41.0,50.3,60.0,65.3,63.7,56.1,44.5,36.3,27.8,39.3,43.0,52.4,63.9,73.9,82.5,86.9,85.2,77.9,65.7,54.7,43.3,0.537537239404062,1.13255751096651,-0.04335078707883673,,,0.1282436081750589,,,,0.2005990036414734,0.5491887030780316,0.8344410730842294,-0.3814730871971234,-0.2902412959939561,-0.16168052944708713,0.7465314317882382,-0.31465736627617025,0.5571535422485955,1.5897762040501744,1.4094543107173025,0.6303861558065856,0.5181070661292552,0.32069539339462116,0.6193374051974223,0.9781749354676782,-0.37523124311402756,-0.2840815058959056,-0.047751848517294436,0.8667414732710172,-0.25505454268886346,0.6784167329671917,1.7508077360738552,1.5975014484246108,0.785883048784064,0.6681751165577031,0.11793322893815555,-0.3771948015025256,-0.758846528223299,0.43023879013461613,0.3111695839197881,-0.5867782380027571,-0.6302161668382934,-0.705712158646593,-0.6694655162273009,-0.6535998647352533,-0.4344428765363492,-0.23825115845697134,-0.3240788625169338,-0.4304935738675516,-0.5337154667686418,-0.43224509000116956,-0.417216463498009,-0.7688112715975504,-0.815693052536326,-0.8304685187187562,-0.7386354762374578,-0.5552651903815722,-0.3689177404436529,-0.28302790109125303,-0.45452585845399573,-0.6571658236781575,-0.790722611220191,-0.6330665873332382,-0.6455577130756162,-0.22894633682428822,73.0
662,4038999.0,Byron Murphy,Byron,Murphy,CB,DB,D,Washington,2019,,,,,,Scottsdale,AZ        ,USA,190,71,0.3736842105263158,4.55,36.5,14.0,120.0,,,1.2,0.1,0.0,0.0,0.0,0.3,0.05,4.75,0.35,1.0,0.05,2.5,3.7,1.08,0.09000000000000001,0.0,0.0,0.0,0.27,0.045000000000000005,4.275,0.315,0.9,0.045000000000000005,2.25,3.33,27353322.214285713,6609932.785714285,23747798.785714287,22.27,2.19,21.0,23.6,29.2,34.4,42.3,48.8,53.8,52.3,43.4,33.5,26.9,19.5,35.3,42.0,53.1,60.6,68.7,75.5,84.0,83.8,75.6,61.8,45.1,33.0,-0.35376733805521676,-0.1462886784998428,0.2879766835291048,0.5850066857139239,0.18551319967702637,-0.11444160550151032,-0.33113811757840533,,,0.8116889857262732,2.1509944874420515,-0.4190241899480052,-0.3814730871971234,-0.2902412959939561,1.1749766724569248,1.1085386167197129,1.100717337545752,1.83021976382289,2.5174515332034817,0.6806944055917745,0.4768406389426699,0.6040448759196528,0.8443801744103974,2.168639065849774,-0.4333429996748157,-0.37523124311402756,-0.2840815058959056,1.2302612744159704,1.156212771314978,1.1567346851627576,1.8787220122889572,2.5560962846634996,0.720410113350816,0.5039364607298331,0.6325199522576478,0.74783834151829,0.31685137721335993,0.18962545975694675,-1.3235201878176746,0.5262825133346986,-0.7582065503127476,-0.767196331228029,-0.9609712895410435,-1.4603806866914182,-1.7043224709535754,-2.03675288183816,-2.027862475234888,-2.0187458189485836,-2.0746479690070423,-1.7908809730207247,-1.4420127476369886,-1.1865597913764092,-1.0791702394447693,-0.896261936044552,-0.7629923957929832,-1.1544361286147329,-1.3236828534334346,-1.5666534132514667,-0.8580838149165294,-0.7195437018494879,-1.0429003164727695,-1.290133826589274,-1.590171441823099,-1.4937714414261933,0.4152372724911979,79.0
1314,547322.0,Davante Davis,Davante,Davis,CB,DB,D,Texas,2019,,,,,,Leander,TX        ,USA,202,74,0.36633663366336633,4.57,37.0,14.0,125.0,6.76,4.15,0.42857142857142855,0.08571428571428572,0.02857142857142857,0.0,0.0,0.11428571428571428,0.0,0.4857142857142857,0.2,0.5714285714285714,0.0,2.914285714285714,3.342857142857143,0.42857142857142855,0.08571428571428572,0.02857142857142857,0.0,0.0,0.11428571428571428,0.0,0.4857142857142857,0.2,0.5714285714285714,0.0,2.914285714285714,3.342857142857143,27308844.14285714,9755747.07142857,58306708.85714286,34.64,0.04,41.5,44.8,51.3,58.6,66.7,72.3,74.4,74.6,69.4,60.6,50.6,42.3,61.5,65.2,72.2,79.8,86.5,92.1,95.6,97.0,90.5,81.8,71.4,62.7,0.9831895281337012,1.7719806056996863,-0.19917311236474922,0.7984280159572741,0.360277780488645,-0.11444160550151032,0.5719658394536116,-0.812502443092013,-0.05310204102727826,-0.6614743639424407,1.7696121578315704,0.47630814078930517,-0.3814730871971234,-0.2902412959939561,-0.5981400239463565,-0.7014973079376604,-0.8652638122487747,0.5571535422485955,1.0975403151116847,-0.5339054362841054,0.8302390507723169,0.3848157693114957,-0.553747812376452,2.040949368543261,0.6279486808834503,-0.37523124311402756,-0.2840815058959056,-0.45622093381315626,-0.7046741446819111,-0.8401569731726685,0.774441155312933,1.3311203178935382,-0.5527869859498546,1.1366833885542413,0.6413357895845847,0.742821874457937,1.598149155890233,2.5709606354939014,-0.5097918098255576,-0.6299494822704452,0.9989336508646556,1.0477908469359694,1.208731323061784,1.439641605010345,1.5003814780123077,1.3252368614290317,1.1778760574281641,1.2962605958256068,1.2913374068690806,1.3063176832912249,1.1038908147001303,0.926817061108834,0.9536809999545146,0.9729361613462923,1.0781418154673874,1.2647676670348686,1.3066699162440925,1.273691182264205,1.4421398403845707,1.779195964450857,1.4559883542401404,1.2709493291496083,1.031897065789749,0.952048726730326,,
1341,4046536.0,David Long,David,Long,CB,DB,D,Michigan,2019,,,,,,Los Angeles,CA        ,USA,196,71,0.3622448979591837,4.45,39.5,15.0,120.0,6.45,3.97,0.6666666666666666,0.0,0.0,0.0,0.0,0.125,0.0,5.0,0.08333333333333333,0.5,0.020833333333333332,0.875,1.5416666666666667,0.6333333333333333,0.0,0.0,0.0,0.0,0.11875,0.0,4.75,0.07916666666666666,0.475,0.019791666666666666,0.8312499999999999,1.4645833333333333,25991489.785714287,7902580.285714285,46611276.85714286,36.42,3.67,16.4,16.8,24.9,36.3,47.1,56.6,61.1,59.4,51.2,39.1,31.3,21.5,31.3,34.8,44.5,59.3,69.3,77.5,81.8,79.6,73.2,61.6,48.3,35.5,0.3147110950392422,-0.1462886784998428,-0.4704582244940867,-0.4820999655027991,1.234100684546738,0.1282436081750589,-0.33113811757840533,-2.28004118073805,-1.2913450886179432,-0.20679431774839327,-0.5186818198313148,-0.4190241899480052,-0.3814730871971234,-0.2902412959939561,-0.4958448299230902,-0.7014973079376604,1.2159758639156155,-0.4330090745314117,0.8608884454297185,-0.02782216883582214,-0.9093341660787904,-0.7208296916823099,-0.11427775805017633,-0.512844577586988,-0.4333429996748157,-0.37523124311402756,-0.2840815058959056,-0.40786995307264234,-0.7046741446819111,1.4070519241435413,-0.3858539480314405,0.9716165015588757,0.007183960501829123,-0.847454491303749,-0.6465519273204684,0.5942438330284133,0.8433498351431938,1.7650687957490743,-0.3926991248760048,1.3222003521698673,-1.152491668625726,-1.349362029884406,-1.3831306214049421,-1.2326929861032634,-1.0738889072225817,-0.9208584138601129,-0.8918483350193402,-0.9632953460832582,-1.0648523562442052,-1.1508694425651187,-0.9693555461904346,-1.001175856947879,-1.3895292072919878,-1.4763578973037796,-1.5919847631667625,-1.3182363856118418,-1.2350192769274513,-1.2244432210206628,-1.2943331288529458,-1.5145972320359617,-1.4454058741714915,-1.315744658146662,-1.2711364903264792,-1.2878943228944997,-0.44367420659611695,71.0
1429,3915163.0,Deandre Baker,Deandre,Baker,CB,DB,D,Georgia,2019,,,,,,Miami,FL        ,USA,193,71,0.36787564766839376,4.52,,14.0,118.0,,,0.9166666666666666,0.05555555555555555,0.027777777777777776,0.0,0.0,0.19444444444444445,0.0,4.027777777777778,0.1111111111111111,0.6388888888888888,0.027777777777777776,2.3055555555555554,3.2222222222222223,0.9166666666666666,0.05555555555555555,0.027777777777777776,0.0,0.0,0.19444444444444445,0.0,4.027777777777778,0.1111111111111111,0.6388888888888888,0.027777777777777776,2.3055555555555554,3.2222222222222223,26289822.785714287,7367397.642857143,22925558.85714286,49.68,0.06,33.1,36.3,42.5,49.3,58.2,66.4,69.8,69.3,62.7,51.5,42.4,35.0,53.9,58.2,66.2,74.0,81.8,88.7,91.4,89.9,84.0,74.4,65.2,55.7,-0.019528121507987255,-0.1462886784998428,-0.09713534230650739,0.2648746903489032,,-0.11444160550151032,-0.6923797003912121,,,0.2706197307553566,0.9644716842094441,0.4514377982688243,-0.3814730871971234,-0.2902412959939561,0.16717957578326503,-0.7014973079376604,0.7677482613661467,-0.1972560705361719,1.3210448587002082,0.14087225364693895,0.3109735682563412,0.31076504885718487,0.4938261543315307,1.1423922393492845,0.5984683564234985,-0.37523124311402756,-0.2840815058959056,0.4119477870387387,-0.7046741446819111,1.026452613412525,-0.07910926553810044,1.5826250453704627,0.23313714942092956,0.5568543638931646,0.5586192912083874,0.6278913725787664,0.6253686483346489,0.13296774512544923,0.47957559559088836,-0.6191938357996998,0.27893473916269534,0.3200837236154982,0.34477734157287554,0.32517022844727034,0.3839887089053405,0.4811628407789719,0.46203153071699604,0.5083891160810685,0.42394886770100265,0.26629894630086537,0.22302966654973455,0.2501657004446994,0.3639989610447986,0.4089539767887101,0.49977504753219254,0.5339665204323851,0.6121385669472168,0.6919338554718398,0.6093002410514156,0.435176901516582,0.36586913547276406,0.32334856152622304,0.413766847265047,0.37559279484158414,-0.33631027171020256,72.0
1513,,Derrek Thomas,Derrek,Thomas,CB,DB,D,Baylor,2019,,,,,,,,,189,75,0.3968253968253968,4.44,39.5,8.0,131.0,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,-0.5833333333333334,0.0,0.5833333333333334,0.0,1.4166666666666667,1.75,0.2833333333333333,0.0,0.0,0.0,0.0,0.07083333333333333,0.0,-0.49583333333333335,0.0,0.49583333333333335,0.0,1.2041666666666666,1.4875,,,,36.61,0.06,35.0,39.1,46.4,54.1,64.0,70.9,74.4,74.3,66.5,56.2,46.4,36.8,59.1,62.4,69.3,77.3,84.1,90.9,95.3,96.2,89.7,80.2,69.0,59.9,-0.4651804102376266,2.411403700432863,1.8222544995509822,-0.5888106306244695,1.234100684546738,-1.5705528875609256,1.6556905878920318,,,-0.8433463824200598,-0.5186818198313148,-0.4190241899480052,-0.3814730871971234,-0.2902412959939561,-0.8936594733469033,-0.7014973079376604,-1.3581312250113333,-1.1402680865171309,1.1369822933920126,-0.5339054362841054,-0.4472758977383035,-0.592946046160885,-0.8654649439334614,-0.512844577586988,-0.4333429996748157,-0.37523124311402756,-0.2840815058959056,-0.9268371463541587,-0.7046741446819111,-1.3574165309161679,-1.146047291601892,1.0492870791620437,-0.5527869859498546,-0.49224306631988524,-0.6308385135664375,,,,-0.3802004674937493,-0.6191938357996998,0.4417916358571862,0.5597990112975362,0.7276660379145509,0.9003812615120833,1.1457625984136235,1.1249481107663066,1.1778760574281641,1.2516640969721426,0.9159005764828971,0.803451480790392,0.6527180315011469,0.4170112414303762,0.7674656192461834,0.7473432875232591,0.7985978776320427,0.9497671728096602,0.9520156102201552,1.0683650669257245,1.38265129757506,1.6277571967962914,1.321819835007233,1.0660626766904986,0.7926208521672833,0.7214663539748289,,
1515,,Derrick Baity,Derrick,Baity,CB,DB,D,Kentucky,2019,,,,,,,,,197,74,0.3756345177664975,,38.5,10.0,127.0,7.06,4.31,0.7659574468085106,0.0425531914893617,0.02127659574468085,0.0,0.0,0.1276595744680851,0.0,1.5957446808510638,0.1276595744680851,0.5319148936170213,0.0,2.382978723404255,3.148936170212766,0.7659574468085106,0.0425531914893617,0.02127659574468085,0.0,0.0,0.1276595744680851,0.0,1.5957446808510638,0.1276595744680851,0.5319148936170213,0.0,2.382978723404255,3.148936170212766,16299559.42857143,5418008.857142857,30307425.714285713,47.9,0.32,24.9,28.1,35.7,44.7,53.9,62.5,66.3,65.0,57.5,46.6,37.3,28.0,40.9,45.6,55.4,65.8,74.4,82.9,86.1,85.6,78.8,67.5,55.4,43.9,0.4261241672216521,1.7719806056996863,0.4172835001444852,,0.8845715229235008,-1.0851824602077873,0.9332074222664184,0.6076963352751208,1.0475584457199734,-0.017183064441939348,0.6173506513488409,0.2477126520904174,-0.3814730871971234,-0.2902412959939561,-0.4704524058747618,-0.7014973079376604,-0.35350194197188584,-0.05680747241134824,0.9666265148620864,-0.5339054362841054,0.3770179033928429,0.26577902887234317,0.17036662646892065,0.7549963885769654,0.35698059223027606,-0.37523124311402756,-0.2840815058959056,-0.31137374044582944,-0.7046741446819111,-0.2551890917086963,0.07979639791820892,1.1838059093088067,-0.5527869859498546,0.6306016544718502,0.5083687868757031,-0.4988622263456141,-0.16862212609092567,0.6416267037901843,0.36248291064133553,-0.4793704316800079,-0.4239213413082662,-0.3819396188818972,-0.3228234623049173,-0.2260736782398409,-0.1807746919370082,-0.07678439321005222,-0.08263278308497858,-0.1308273674852549,-0.24924820747422213,-0.2937111428477895,-0.32482299876331644,-0.3986780700551561,-0.6446676844586627,-0.606213955414938,-0.5412851347511587,-0.49923510062629944,-0.48137887662658546,-0.30047570199749113,-0.4416640152499519,-0.3788064746267142,-0.5062262395411375,-0.560225127203692,-0.5632776916933528,-0.5961472046280096,-1.8394053601130036,58.0
