fms_id,espn_id,fms_college_id,fms_city_id,full_name,first_name,last_name,position,position_group,section,college,conference,draft_year,selection_number,position_rank,position_group_rank,section_rank,drafting_team,home_city,home_state,home_country,college_weight_pounds,college_height_inches,hw_ratio,forty,vertical,bench,broad,threecone,shuttle,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,rb_college_weight_pounds_zscore,rb_college_height_inches_zscore,rb_college_weight_pounds_zscore,rb_hw_ratio_zscore,rb_forty_zscore,rb_vertical_zscore,rb_bench_zscore,rb_broad_zscore,rb_threecone_zscore,rb_shuttle_zscore,rb_rushing_games_zscore,rb_rushing_rec_td_zscore,rb_rushing_rec_yards_zscore,rb_rushing_receptions_zscore,rb_rushing_rush_att_zscore,rb_rushing_rush_td_zscore,rb_rushing_rush_yds_zscore,rb_rushing_scrim_plays_zscore,rb_rushing_scrim_tds_zscore,rb_rushing_scrim_yds_zscore,rb_rushing_seasons_zscore,rb_max_madden_zscore,rb_rushing_rec_td_pg_zscore,rb_rushing_rec_yards_pg_zscore,rb_rushing_receptions_pg_zscore,rb_rushing_rush_att_pg_zscore,rb_rushing_rush_td_pg_zscore,rb_rushing_rush_yds_pg_zscore,rb_rushing_scrim_plays_pg_zscore,rb_rushing_scrim_tds_pg_zscore,rb_rushing_scrim_yds_pg_zscore,rb_football_spending_zscore,rb_coaches_salaries_zscore,rb_ticket_sales_zscore,rb_ann_rain_inch_zscore,rb_ann_snow_inch_zscore,rb_min_jan_zscore,rb_min_feb_zscore,rb_min_mar_zscore,rb_min_apr_zscore,rb_min_may_zscore,rb_min_jun_zscore,rb_min_jul_zscore,rb_min_aug_zscore,rb_min_sep_zscore,rb_min_oct_zscore,rb_min_nov_zscore,rb_min_dec_zscore,rb_max_jan_zscore,rb_max_feb_zscore,rb_max_mar_zscore,rb_max_apr_zscore,rb_max_may_zscore,rb_max_jun_zscore,rb_max_jul_zscore,rb_max_aug_zscore,rb_max_sep_zscore,rb_max_oct_zscore,rb_max_nov_zscore,rb_max_dec_zscore,rb_max_aug_zscore,rb_rushing_rush_td_pg_cf_scaled_zscore,rb_rushing_rush_yds_pg_cf_scaled_zscore,rb_rushing_scrim_plays_pg_cf_scaled_zscore,rb_rushing_scrim_tds_pg_cf_scaled_zscore,rb_rushing_scrim_yds_pg_cf_scaled_zscore,max_madden
113,3886636.0,106,1993.0,Alex Barnes,Alex,Barnes,RB,RB,O,Kansas State,big_12,2019,,,,,,Pittsburg,KS        ,USA,226,72,0.3185840707964602,4.59,38.5,34.0,126.0,6.95,4.1,35,0,223,25,458,25,2616,483,25,2839,4,0.8127423436736405,0.8308159452695245,0.8127423436736405,-0.6165423773344438,0.3138683356471093,1.3716380500147631,3.192520548430538,1.4074190107141566,-0.5475125751567343,-1.0747392183090339,-0.27222368811266795,-0.9521604894911092,-0.7181225801995061,-0.7151212203887956,-0.1613042634024483,-0.03432432126115504,-0.013948143655559884,-0.26080548763892425,-0.22029383563521346,-0.19716061285115347,0.6272471921567819,-1.3794522681890027,-0.9661947130048169,-0.7258435833449243,-0.7322317723951249,-0.010876994248814421,0.08951064588201754,0.1643677251802799,-0.13246350578508942,-0.1192926765364224,-0.05168970679272483,-0.6651047422837512,-0.14796180383141547,-0.3716106015067498,-0.2138554202599537,-0.096709520478692,-1.0228753134151196,-0.9366484261911762,-0.8276315051095398,-0.5418371357480672,-0.1537063125314512,0.07738515330919651,0.30781825698998616,0.06418269818682798,-0.408989147138299,-0.6469404574612152,-0.989723491381654,-1.101825233726619,-0.60393226493528,-0.47048391995644007,-0.32931382241021206,-0.2392090259787075,-0.0544401115527688,0.3208591647562314,0.6804644520003488,0.5541150644646505,0.06060870554546039,-0.22347879530136064,-0.502824300839888,-0.6539332129880672,0.5541150644646505,0.01583230167592896,0.060966800399299116,-0.23530786743076887,-0.19209831079119027,-0.15446854989382142,63.0
136,4048244.0,25,323.0,Alexander Mattison,Alexander,Mattison,RB,RB,O,Boise State,mountain_west,2019,,,,,,San Bernardino,CA        ,USA,221,71,0.3212669683257919,4.67,35.0,22.0,127.0,7.13,4.29,38,1,511,60,581,33,2829,641,34,3340,3,0.45705789331987196,0.2562227652734124,0.45705789331987196,-0.47069847337668685,1.042212915884641,0.21069411985852554,0.5621671537885372,1.583765261758996,0.33194877444278126,0.1752997919513352,0.019365506268177967,-0.5945064781141922,0.14755318372246926,0.26975228891243147,0.4198375584078066,0.5711624504418984,0.17306727362588328,0.4311247253208554,0.4160360440345898,0.19051067454701645,-0.4637074951918119,-0.22027902711918662,-0.6043857307359024,0.17285226711924187,0.3228501842711666,0.4620813287697996,0.561892553147575,0.15293068654269493,0.49211901158025095,0.4048699029032536,0.18699936531045885,-0.7525965111463645,-0.7587955789128714,-0.9837110438725123,-1.528070308531341,0.9940101198857313,-0.41126811991658824,-0.3383702040387279,-0.4200129431688082,-0.8354096208809315,-1.1108088414030346,-1.2708991512898422,-0.932181500461784,-0.8724432422135423,-1.0402918970779123,-0.912513163285966,-0.871230573588605,-0.7330456470676192,-0.8242793047797677,-0.6209023717117268,-0.5592680666460841,-0.8698401249821053,-0.8047923567854619,-0.47557429924863076,0.6237949251033547,0.4624582411837743,-0.4371698059733864,-0.8481695217645616,-1.2124562755132748,-1.0596104387028538,0.4624582411837743,0.3255763783884711,-0.1142173989420128,0.17235801085522595,0.1760268874376233,-0.09926704782684921,74.0
414,,109,1835.0,Benny Snell,Benny,Snell,RB,RB,O,Kentucky,sec,2019,,,,,,,,,224,70,0.3125,4.66,29.5,16.0,119.0,7.07,4.33,39,0,216,29,737,48,3873,766,48,4089,3,0.6704685635321331,-0.3183704147226997,0.6704685635321331,-0.947276081178943,0.9511698433549515,-1.613646341815562,-0.753009543532463,0.17299525340028257,0.03879499124294418,0.4384658993745705,0.1165619043951266,-0.9521604894911092,-0.7391633105726098,-0.6025642478972267,1.15689547875252,1.7064501473851235,1.0897062203011258,0.978537868485238,1.4058825235209504,0.7700831181822047,-0.4637074951918119,-0.43103779822278954,-0.9661947130048169,-0.8316364577912344,-0.6964742568068805,1.236401682909181,1.6723888567193266,1.115161945651372,1.0564875658869286,1.3809547062829068,0.7837322255960596,-0.5027713587286762,-0.13479735658937905,0.6785106651762495,0.4768268567877826,-0.5099337014097068,-0.39427903120829577,-0.35546386752879783,-0.29076803328516115,-0.17487152933198788,-0.11326536060730018,0.0048967498361298925,-0.006105732238310174,-0.05667226186483237,-0.18540275653468544,-0.2543547184159324,-0.2895380680590905,-0.3642660604086194,-0.5887359173597984,-0.5496515261434332,-0.48261665190079367,-0.42839835567972684,-0.39283426136359023,-0.21009647791367514,-0.33958703214555486,-0.2891277097194117,-0.4371698059733864,-0.5039521826930019,-0.502824300839888,-0.540343589787927,-0.2891277097194117,2.221058783784204,1.6382620692876404,1.5921913602979259,1.9209226899552463,1.2934430624696103,72.0
645,3931398.0,218,3148.0,Bryce Love,Bryce,Love,RB,RB,O,Stanford,pac_12,2019,,,,,,Wake Forest,NC        ,USA,200,69,0.345,,,18.0,,,,49,2,465,49,569,30,3865,618,32,4330,4,-1.0368167981659562,-0.8929635947188118,-1.0368167981659562,0.8194432313576725,,,-0.3146173110921296,,,,1.088525885664613,-0.23685246673727517,0.00928552698493151,-0.039779385439382725,0.3631407953043671,0.34410491105325336,1.082682167069898,0.330400706978609,0.2746294041079669,0.9565677095254361,0.6272471921567819,-0.536417183774591,-0.40502159764894957,-0.329788238828998,-0.3835959954097417,-0.32710462378380245,-0.22321605230772434,0.324403117879366,-0.37423315177612604,-0.2971335517034555,0.2036364390558889,,,,-0.11381612219549973,-0.6588866038383285,0.760979000955597,0.7128901006005739,0.444933761437135,-0.17487152933198788,-0.814241860625924,-1.459369000319816,-1.7640800719167689,-1.5824661325170497,-0.843009787721783,-0.08115512766066046,0.25983818716322915,0.5576829062388801,0.7409444954948667,0.7170301728484556,0.5042703129448249,0.06349390154292414,-0.4075470504858011,-0.9567528504182338,-1.5674267815804375,-1.425672318402274,-0.3210214866189883,0.3247191891459372,0.4236396660948117,0.6280068202706585,-1.425672318402274,-0.1826242036365208,0.38978949738857377,-0.32285465881201614,-0.2577894608458624,0.2723935781551748,71.0
1182,3925347.0,3,3310.0,Damien Harris,Damien,Harris,RB,RB,O,Alabama,sec,2019,,,,,,Richmond,KY        ,USA,216,70,0.32407407407407407,4.57,37.0,16.0,121.0,,,54,2,407,52,477,23,3070,529,25,3477,4,0.10137344296610336,-0.3183704147226997,0.10137344296610336,-0.3181025368282962,0.13178219058773047,0.8740906513763756,-0.753009543532463,0.5256877554899609,,,1.5745078762993563,-0.23685246673727517,-0.1650519532493552,0.04463834392929388,-0.0715343884886691,-0.1856960141869184,0.3846668772166242,-0.059357450954431436,-0.22029383563521346,0.2965205874682725,0.6272471921567819,-0.7471759548781939,-0.4569820712930113,-0.5778028264179293,-0.42878952205599513,-0.92349883738049,-0.7942318382615864,-0.5281125750114559,-0.9474244564341417,-0.8493184912652922,-0.6404660836966172,2.052018374896322,2.1422880294940922,0.910284237764193,0.7474811220991477,-0.6588866038383285,0.4551754042063312,0.5248598022098043,0.6437720843350528,0.6691493654249946,0.8438371682642832,0.8747575915129293,0.9042738365237487,0.9403811585613682,0.8404642121171864,0.5423633990583183,0.4429636055706692,0.4931464785735548,0.5813828459523068,0.6853631303736586,0.8875273866712786,1.0094405500480208,1.0343062834907437,1.0011460819270528,0.9071425595883276,0.9940678162128544,1.0395731115325266,0.7964244315773337,0.7094636558938154,0.6198932757563632,0.9940678162128544,-0.6249750673295916,-0.23352076363567417,-0.6820062078897544,-0.6806202161685274,-0.3383162011496433,69.0
1275,3916151.0,125,2090.0,Darrell Henderson,Darrell,Henderson,RB,RB,O,Memphis,,2019,,,,,,Midland City,AL        ,USA,208,68,0.3269230769230769,4.49,33.5,22.0,121.0,,,38,8,758,63,431,36,3545,494,44,4303,3,-0.4677216775999264,-1.467556774714924,-0.4677216775999264,-0.16322904898813648,-0.5965623896498011,-0.286853278779862,0.5621671537885372,0.5256877554899609,,,0.019365506268177967,1.9090716015242268,0.8899903840305523,0.3541700182811081,-0.2888719803851872,0.7982199898305434,0.8017200378207815,-0.21263313104045858,1.1230692436677046,0.9356752449351156,-0.4637074951918119,-0.43103779822278954,1.9282771451464984,0.9983995657339176,0.41918375422765414,-0.3850804575992632,0.8038442617470067,0.8822237864355019,-0.2953049168305986,1.1692736645861146,1.0791057276122786,-1.0156975515014954,-0.7270908974868815,-0.8371174423319582,0.8536872262086705,-0.5820076864558142,0.030448186499017725,0.09751821495805557,0.43499184529223894,0.7303102998276745,0.8842781201884342,0.9327483142913835,0.9827548338308227,0.8799536785355391,0.45905213402866996,0.2883373326172525,0.22752193685603417,0.06904995391570559,-0.06446192600567338,0.020355238402916493,0.149757519747855,0.3409715851044195,0.41636914035794026,0.47019043925714404,0.4726761867113697,0.5174523351522995,0.34268319540614073,0.22272886645806816,0.08853567805460122,-0.012963196358704316,0.5174523351522995,0.21390898592558014,0.13905517051516467,-0.8428552559768819,0.4970218699762425,0.2617125049140195,72.0
1347,4035538.0,101,72.0,David Montgomery,David,Montgomery,RB,RB,O,Iowa State,big_12,2019,,,,,,Cincinnati,OH        ,USA,222,70,0.3153153153153153,4.63,28.5,15.0,121.0,,,37,0,582,71,624,26,2925,695,26,3507,3,0.5281947833906256,-0.3183704147226997,0.5281947833906256,-0.7942338676882451,0.6780406257658751,-1.9453446075744871,-0.9722056597526297,0.5256877554899609,,,-0.07783089185877068,-0.9521604894911092,0.36096630607823404,0.5792839632642457,0.6230009595284648,0.04136152520172664,0.2573559124006182,0.6676072031678687,-0.14959051567190199,0.3197344370130731,-0.4637074951918119,0.20123851508801918,-0.9661947130048169,0.46272876140247804,0.7376920440837883,0.8001828345008759,0.05401193960101988,0.3312347559978402,0.881994473836257,-0.15293824751396912,0.4295112854152955,-0.6044559848408283,-0.6866424308129265,-0.5375402930863898,-0.4296936318373712,0.4846872922265733,0.23431725099852807,0.14879920542826552,-0.1615231234015148,-0.798713060239323,-1.3264939183318423,-1.676834210739016,-1.5914218778412057,-1.5975730025235075,-1.1586611626915897,-0.7393135725306941,-0.41880306928787103,0.013733015916855499,0.437017543985229,0.40035974810048347,0.05394325131624159,-0.32749737983918353,-0.20156800277486525,0.13834316258845128,0.8504730326913336,0.8107541696511021,0.6247576852668211,0.47770467317774173,0.11810367699932611,0.311578584213125,0.8107541696511021,-0.01898291817495277,0.22252715673484866,0.7432860867437011,-0.22545782795977892,0.31416250087954684,78.0
1560,4040761.0,72,319.0,Devin Singletary,Devin,Singletary,RB,RB,O,Florida Atlantic,,2019,,,,,,Deerfield Beach,FL        ,USA,203,67,0.33004926108374383,4.66,35.0,15.0,117.0,7.32,4.4,38,1,397,51,714,66,4287,765,67,4684,3,-0.823406127953695,-2.042149954711036,-0.823406127953695,0.006712179664056983,0.9511698433549515,0.21069411985852554,-0.9722056597526297,-0.17969724868939574,1.26026908790894,0.8990065873652336,0.019365506268177967,-0.5945064781141922,-0.19511013949664602,0.01649910080640168,1.048226682804261,3.068795383716994,1.4532009750171704,0.974158563339923,2.7492456028238683,1.2304911341540832,-0.4637074951918119,0.622756057295225,-0.6043857307359024,-0.20816956301060857,0.03384947440170404,1.213231446017036,3.223361347741326,1.6379995966596121,1.156340556634301,2.9274023164566945,1.43205746596845,-1.6245979264639527,-1.615414979017542,-1.4177930942418489,1.4011625628764697,-0.6636915361747358,2.493866049201436,2.5162715988029536,2.5725038164448564,2.66299582695236,2.3401523894578844,1.918590601525089,1.6262990117488316,1.7410452689036224,2.2345911182338343,2.8055047182605373,2.9636311295318993,2.770360426192879,1.9794468228966409,1.8807939837972532,1.6923672414968305,1.5265580512308061,1.1225830182240029,0.5199675307574475,0.20821839452539387,0.38913278255907235,0.9897952603806425,1.6123470130802882,1.9020396133310349,2.096558377358187,0.38913278255907235,2.1680883540261657,0.7416652143816713,0.31035406568809304,1.93258276410729,0.5447858560342473,82.0
1584,3932449.0,173,2417.0,Dexter Williams,Dexter,Williams,RB,RB,O,Notre Dame,acc,2019,,,,,,Orlando,FL        ,USA,212,71,0.33490566037735847,4.57,36.0,17.0,130.0,7.0,4.16,35,2,162,22,257,20,1636,279,22,1798,4,-0.18317411731691152,0.2562227652734124,-0.18317411731691152,0.27070893109230854,0.13178219058773047,0.5423923856174506,-0.5338134273122963,2.112804014893513,-0.30321775582353605,-0.6799900571741779,-0.27222368811266795,-0.23685246673727517,-0.9014775163079801,-0.7995389497574722,-1.11097504538506,-0.4127535535755634,-0.8743946644809791,-1.1541837372831967,-0.4324037955251479,-1.0026811920557341,0.6272471921567819,-1.0633141115335982,-0.18055235150660265,-0.9471991227536944,-0.83682250549074,-1.2433763703034628,-0.34830673158362124,-0.9193862668391992,-1.3188795005452267,-0.3682699017702686,-1.0987136937363644,,,,0.0019827913174638463,0.6048106006367521,-1.0143807690609732,-1.005023080151456,-1.016527911862562,-0.9210349290446829,-0.8277221779339746,-0.546015116559176,-0.5083841150035836,-0.5551989720779326,-0.6851841002368793,-0.7162202937633242,-0.7204214054883606,-0.8805574817312193,-1.3181606009829288,-1.38091139110686,-1.335363640942153,-1.2229935404240075,-1.0401969827408155,-0.7908292120838875,-0.9440619857134949,-1.1507018485596454,-1.2336154244035409,-1.243382022180055,-1.2124562755132748,-1.2462219625316555,-1.1507018485596454,-0.31252300711376124,-0.8852824579865167,-1.2877079880573599,-0.3324699261711736,-1.0705441937927946,66.0
1753,4035006.0,80,138.0,Elijah Holyfield,Elijah,Holyfield,RB,RB,O,Georgia,sec,2019,,,,,,College Park,GA        ,USA,217,70,0.3225806451612903,4.78,29.5,26.0,118.0,,,27,0,63,7,215,9,1340,222,9,1403,3,0.1725103330368571,-0.3183704147226997,0.1725103330368571,-0.39928621997031544,2.043686713711249,-1.613646341815562,1.4389516186692042,-0.0033509976445565853,,,-1.0497948731282571,-0.9521604894911092,-1.1990535601561592,-1.2216275966008552,-1.3094137162470982,-1.245297864667262,-1.1342846340364119,-1.4038041305661553,-1.351546955048197,-1.3083302110622752,-0.4637074951918119,-1.3794522681890027,-0.9661947130048169,-1.2387110626308182,-1.2874665283348095,-1.1102927818811257,-1.078002360693019,-0.8076522951752106,-1.267830010574611,-1.225858122020183,-1.077890183269168,0.6042314970690872,0.653199013342074,0.15067880585683502,0.5987925763458155,-0.6348619421562928,0.3022736058316986,0.3453763355640697,0.38528226456775944,0.3878090671726665,0.4663882836388705,0.5703062969260504,0.5432612489112084,0.5929231484128439,0.4985085558998964,0.3114306113846224,0.25983818716322915,0.2810982162446302,0.3990266750465243,0.4478603118126794,0.5521774471606317,0.6058366466858458,0.6959121336799222,0.7522606244255333,0.6615746097013516,0.4991209704961253,0.42564628065928184,0.3757143504898727,0.4630636646877782,0.41705466289896986,0.4991209704961253,-0.9523948909090549,-0.5519323514400365,-1.0456277261718245,-1.1198417457738399,-0.8394899646280682,63.0
