College,Geographic Location
Abilene Christian,"Abilene, TX"
Air Force,"Colorado Springs, CO"
Akron,"Akron, OH"
Alabama,"Tuscaloosa, AL"
Alabama State,"Montgomery, AL"
Alabama-Birmingham,"Birmingham, AL"
Alcorn State,"Lorman, MS"
Appalachian St.,"Boone, NC"
Appalachian State,"Boone, NC"
Arizona,"Tucson, AZ"
Arizona State,"Tempe, AZ"
Arkansas,"Fayetteville, AR"
Arkansas State,"Jonesboro, AR"
Army,"West Point, NY"
Auburn,"Auburn, AL"
Azusa Pacific,"Azusa, CA"
Ball St.,"Muncie, IN"
Ball State,"Muncie, IN"
Baylor,"Waco, TX"
Boise St.,"Boise, ID"
Boise State,"Boise, ID"
Boston College,"Chestnut Hill, MA"
Bowling Green,"Bowling Green, OH"
Bowling Green State,"Bowling Green, OH"
Brigham Young,"Provo, UT"
Buffalo,"Amherst, NY"
BYU,"Provo, UT"
California,"Berkeley, CA"
California (PA),"California, PA"
California-Davis,"Davis, CA"
Central Florida,"Orlando, FL"
Central Michigan,"Mount Pleasant, MI"
Central Missouri,"Warrensburg, MS"
Central Washington,"Ellensburg, WA"
Charlotte,"Charlotte, NC"
Chattanooga,"Chattanooga, TN"
Cheyney,"Philadelphia, PA"
Cincinnati,"Cincinnati, OH"
Clark Atlanta,"Atlanta, GA"
Clemson,"Clemson, SC"
Coastal Carolina,"Conway, SC"
Colorado,"Boulder, CO"
Colorado St.,"Fort Collins, CO"
Colorado State,"Fort Collins, CO"
Connecticut,"East Hartford, CT"
Delaware,"Newark, DE"
Duke,"Durham, NC"
East Carolina,"Greenville, NC"
Eastern Kentucky,"Richmond, KY"
Eastern Michigan,"Ypsilanti, MI"
Eastern Washington,"Cheney, WA"
Ferris St.,"Big Rapids, MI"
Florida,"Gainesville, FL"
Florida Atlantic,"Boca Raton, FL"
Florida International,"Miami, FL"
Florida St.,"Tallahassee, FL"
Florida State,"Tallahassee, FL"
Fort Hays State,"Hays, KS"
Fresno St.,"Fresno, CA"
Fresno State,"Fresno, CA"
Furman,"Greenville, SC"
Georgia,"Athens, GA"
Georgia Southern,"Statesboro, GA"
Georgia State,"Atlanta, GA"
Georgia Tech,"Atlanta, GA"
Glenville State,"Glenville, WV"
Grambling State,"Grambling, LA"
Hampton,"Hampton, VA"
Hawaii,"Honolulu, HI"
Hillsdale,"Hillsdale, MI"
Houston,"Houston, TX"
Idaho,"Moscow, ID"
Idaho State,"Pocatello, ID"
Illinois,"Champaign, IL"
Illinois State,"Normal, IL"
Indiana,"Bloomington, IN"
Indiana (PA),"Indiana, PA"
Iowa,"Iowa City, IA"
Iowa St.,"Ames, IA"
Iowa State,"Ames, IA"
Jackson State,"Jacksonville, AL"
Jacksonville St.,"Jacksonville, AL"
Jacksonville State,"Jacksonville, AL"
James Madison,"Harrisonburg, VA"
Kansas,"Lawrence, KS"
Kansas St.,"Manhattan, KS"
Kansas State,"Manhattan, KS"
Kent State,"Kent, OH"
Kentucky,"Lexington, KY"
Lane (TN),"Lane, TN"
Liberty,"Lynchburg, VA"
Louisiana,"Lafayette, LA"
Louisiana St,"Baton Rouge, LA"
Louisiana State,"Baton Rouge, LA"
Louisiana Tech,"Ruston, LA"
Louisiana-Lafayette,"Lafayette, LA"
Louisiana-Monroe,"Monroe, LA"
Louisville,"Louisville, KY"
LSU,"Baton Rouge, LA"
Mars Hill,"Mars Hill, NC"
Marshall,"Huntington, WV"
Maryland,"College Park, MD"
Massachusetts,"Amherst, MA"
McNeese State,"Lake Charles, LA"
Memphis,"Memphis, TN"
Miami,"Miami, FL"
Miami (FL),"Miami, FL"
Miami (OH),"Miami, OH"
